Tipo_evento,Mkey,Fecha_evento,Ciudad,Estado,Pais,N#,Grabaion_seguridad,Modo,Tipo_reporte,FrchaPublicacionOriginal,Nivel_lesiones,Lesiones_fatales,Lesiones_graves,Lesiones_menores,Cuasa_probable,Recomendacion
ACC,27917,1993-01-31 22:30:00+00:00,COLUMBIA,California,United States,N16SC,False,Aviation,DirectorBrief,1993-11-15 05:00:00+00:00,None,0,0,0,THE PILOT'S FAILURE TO MAINTAIN A PROPER GLIDEPATH WHILE ON SHORT FINAL APPROACH. A FACTOR IN THE ACCIDENT WAS THE DARK NIGHT LIGHTING CONDITIONS WHICH MAY HAVE AFFECTED THE PILOT'S PERCEPTUAL AWARENESS OF THE AIRPORT ENVIRONMENT AND THE CUES FOR A PROPER VISUAL APPROACH SLOPE GUIDANCE.,
ACC,15659,1993-01-31 19:00:00+00:00,WARREN,Minnesota,United States,N3571V,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE PILOT'S INADEQUATE COMPENSATION FOR VARIABLE WIND CONDITIONS DURING LANDING. THE CROSSWIND WAS A FACTOR.,
ACC,11897,1993-01-31 12:58:00+00:00,LANHAM,Maryland,United States,N1383R,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,Serious,0,1,0,THE BLOCKAGE OF THE RIGHT AND LEFT FUEL VENT LINE WHICH PREVENTED THE FLOW OF FUEL TO THE ENGINE CAUSING TOTAL POWER LOSS.,
ACC,42981,1993-01-31 11:45:00+00:00,BEND,Oregon,United States,N56843,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,DIRECTIONAL CONTROL NOT MAINTAINED AND GROUND LOOP/SWERVE NOT CORRECTED BY THE PILOT IN COMMAND.,
ACC,18692,1993-01-31 11:30:00+00:00,LANCASTER,Texas,United States,N4312C,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,"AIRCRAFT CONTROL NOT MAINTAINED BY PILOT. TURBULENCE DUE TO STRONG, GUSTY WINDS WAS A FACTOR",
ACC,18272,1993-01-31 09:45:00+00:00,DURANGO,Colorado,United States,N3581T,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,PARTIAL FAILURE OF THE BALLOON'S BURNER FOR UNDETERMINED REASONS.  A FACTOR WAS:  UNFAVORABLE WIND.,
ACC,27916,1993-01-30 22:25:00+00:00,DOUGLAS,Arizona,United States,N3980Y,False,Aviation,DirectorBrief,1993-11-15 05:00:00+00:00,None,0,0,0,THE PILOT'S SELECTION OF THE WRONG RUNWAY BASED ON INACCURATE WIND INFORMATION.,
ACC,15657,1993-01-30 16:30:00+00:00,SLAYTON,Minnesota,United States,N2440U,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE PILOT'S INADEQUATE COMPENSATION FOR THE CROSSWIND CONDITION. THE CROSSWIND WAS A FACTOR.,
ACC,37292,1993-01-30 15:37:00+00:00,HAGERSTOWN,Maryland,United States,N5725G,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,Minor,0,0,2,"THE FAILURE OF THE FLIGHT INSTRUCTOR TO ADEQUATELY SUPERVISE THE STUDENT PILOT, AND TAKE CONTROL OF THE AIRPLANE IN A TIMELY MANNER WHICH RESULTED IN THE AIRPLANE DEPARTING THE RUNWAY AND STRIKING A TOWER.  FACTORS RELATED TO THE ACCIDENT WERE THE IMPROPER USE OF THE FLIGHT CONTROLS BY THE STUDENT PILOT AND THE CROSS WIND.",
ACC,42982,1993-01-30 11:15:00+00:00,INGLEWOOD,Washington,United States,N5391R,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,"FUEL EXHAUSTION, THE PILOT IN COMMAND'S INADEQUATE PREFLIGHT, AND HIS FAILURE TO FLARE ON LANDING. A FACTOR CONTRIBUTING TO THE ACCIDENT WAS FOG.",
ACC,15660,1993-01-30 09:10:00+00:00,BARRINGTON,Illinois,United States,N29515,False,Aviation,DirectorBrief,1993-11-03 05:00:00+00:00,None,0,0,0,LOSS OF ENGINE POWER DUE TO FUEL CONTAMINATION.,
ACC,28432,1993-01-30 07:45:00+00:00,CHANDLER,Arizona,United States,N128TC,False,Aviation,DirectorBrief,1994-09-26 04:00:00+00:00,Serious,0,1,0,The pilot's failure to adequately evaluate the weather conditions and subsequent uncontrolled touchdown resulting in a hard landing.  Gusty wind conditions were a factor in the accident.,
ACC,18691,1993-01-29 19:40:00+00:00,MARFA,Texas,United States,N363N,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,"THE PILOT'S CONTINUED DESCENT BELOW THE PROPER ALTITUDE. FACTORS WERE THE DARK NIGHT, FOG, AND THE CREW'S POOR COORDINATION.",
ACC,27915,1993-01-29 17:00:00+00:00,PARKS,Arizona,United States,N855B,False,Aviation,DirectorBrief,1993-11-15 05:00:00+00:00,Serious,0,2,0,"1) THE PILOT NOT OBTAINING FORECAST WEATHER FOR HIS ROUTE OF FLIGHT NOR HIS DESTINATION 2) THE PILOT'S INFLIGHT DECISION TO FLY INTO SNOW WITH THE HELICOPTER'S ENGINE AIR INDUCTION PARTICLE SEPARATOR KIT NOT INSTALLED, AS REQUIRED BY THE BELL 206B PILOT'S OPERATING HANDBOOK, AND 3) THE PILOT'S IN FLIGHT DECISION TO TURN THE ENGINE ANTI ICE TO THE OFF POSITION.  A FACTOR IN THIS ACCIDENT WAS THE UNSUITABLE TERRAIN THE PILOT WAS FLYING OVER WHEN THE ENGINE LOST POWER.  THIS UNSUITABLE TERRAIN CAUSED THE PILOT TO USE COLLECTIVE PITCH TO CLEAR TREES RESULTING IN INSUFFICIENT ROTOR RPM TO CUSHION THE LANDING TOUCHDOWN.",
ACC,15658,1993-01-29 16:45:00+00:00,SOUTH ST. PAUL,Minnesota,United States,N2375P,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE PILOT'S INADEQUATE COMPENSATION FOR THE EXISTING CROSSWIND CONDITION. THE CROSSWIND WAS A FACTOR.,
ACC,42988,1993-01-29 13:45:00+00:00,HUNTINGTON,Utah,United States,N8540T,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,THE IMPROPER IN FLT DECISION BY THE PILOT IN COMMAND TO LAND ON AN AIRSTRIP UNSUITABLE FOR LANDING.  A FACTOR RELATING TO THE ACCIDENT WAS THE SOFT SNOW COVERING THE AIRSTRIP.,
ACC,5860,1993-01-29 09:57:00+00:00,PORT HEIDEN,Alaska,United States,N8327S,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,THE FAILURE OF THE NUMBER 3 CYLINDER INTAKE VALVE STEM.  A FACTOR IN THE DEGREE OF DAMAGE THE AIRCRAFT SUSTAINED IN THE MISHAP WAS ATTRIBUTABLE TO THE OFF AIRPORT EMERGENCY LANDING ON SHOW COVERED TUNDRA.,
ACC,37291,1993-01-28 21:35:00+00:00,WEST DOVER,Vermont,United States,N40586,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,"THE PILOT'S FAILURE TO MAINTAIN DIRECTIONAL CONTROL DURING TAKEOFF, AND HIS INADEQUATE REMEDIAL ACTIONS, RESULTING IN A COLLISION WITH A SNOWBANK. FACTORS RELATED TO THE ACCIDENT WERE THE ICE COVERED RUNWAY AND THE SNOWBANK ALONG THE RUNWAY EDGES.",
ACC,33221,1993-01-28 14:45:00+00:00,APOPKA,Florida,United States,N4HF,False,Aviation,DirectorBrief,1994-02-10 05:00:00+00:00,Fatal,1,0,0,UNDETERMINED.,
INC,33298,1993-01-28 11:50:00+00:00,GEORGETOWN,,Guyana,N29PB,False,Aviation,None,,None,0,0,0,,
ACC,18271,1993-01-28 11:46:00+00:00,DURANGO,Colorado,United States,N67492,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,POWER LOSS DUE TO WATER CONTAMINATED FUEL.  A FACTOR WAS: UNSUITABLE TERRAIN FOR A FORCED LANDING.,
ACC,33219,1993-01-27 18:17:00+00:00,PLANTATION,Florida,United States,N203CB,False,Aviation,DirectorBrief,1994-02-10 05:00:00+00:00,Minor,0,0,1,FAILURE OF THE MASTER ROD MAIN BEARING WHICH RESULTED IN LOSS OF ENGINE POWER AND A SUBSEQUENT FORCED LANDING.,
ACC,18690,1993-01-27 17:15:00+00:00,FORT WORTH,Texas,United States,N5414Q,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE PILOT'S FAILURE TO MAINTAIN DIRECTIONAL CONTROL. A FACTOR WAS THE CROSSWIND,
ACC,42980,1993-01-27 17:15:00+00:00,RIGGINS,Idaho,United States,N8691X,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,THE IMPROPER PREFLIGHT PLANNING BY THE PILOT AND HIS FAILURE TO ATTAIN PROPER AIRSPEED FOR TAKEOFF FROM A SHORT STRIP IN TAILWIND WEATHER CONDITIONS.  A FACTOR RELATING TO THE ACCIDENT WAS THE TAILWIND WEATHER CONDITIONS.,
ACC,15656,1993-01-27 15:40:00+00:00,BUFFALO,Missouri,United States,N5322P,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,Serious,0,1,0,THE PILOT'S FAILURE TO REFUEL THE AIRPLANE PRIOR TO FUEL EXHAUSTION.,
ACC,37293,1993-01-27 14:30:00+00:00,BEDFORD,Pennsylvania,United States,N5262H,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,"THE PILOT ATTEMPTED TO LAND IN A CROSS WIND, LOST CONTROL OF THE AIRPLANE, LANDED OFF THE RUNWAY, SWERVED TOWARDS A HANGER AFTER GOING THREW A SNOW BANK RESULTING IN THE LEFT WING STRIKING THE HANGER.",
ACC,33220,1993-01-27 09:15:00+00:00,PASCAGOULA,Mississippi,United States,N6612C,False,Aviation,DirectorBrief,1994-02-10 05:00:00+00:00,Minor,0,0,2,LOSS OF ENGINE POWER DUE TO UNDETECTED FOREIGN MATTER CONTAMINATION OF THE ENGINE FUEL CONTROL. THE LACK OF A SUITABLE LANDING AREA WAS A FACOTR IN THE ACCIDENT.,
ACC,15655,1993-01-26 10:00:00+00:00,MINOCQUA,Wisconsin,United States,N37224,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,Minor,0,0,1,THE PILOT'S FAILURE TO PROPERLY ALIGN THE AIRCRAFT WITH THE LANDING AREA.,
INC,15594,1993-01-26 09:52:00+00:00,DETROIT,Michigan,United States,N452US,False,Aviation,DirectorBrief,1994-08-26 04:00:00+00:00,None,0,0,0,IMPROPER LUBRICATION OF THE HORIZONTAL STABILIZER GEARBOX BY COMPANY MAINTENANCE PERSONNEL. A FACTOR WAS THE MANUFACTURER'S INADEQUATE SERVICE PROCEDURE.,
ACC,15585,1993-01-25 16:54:00+00:00,WICHITA,Kansas,United States,N444TD,False,Aviation,DirectorBrief,1993-11-19 05:00:00+00:00,Fatal,3,0,0,AN IMPROPER USE OF THE FLIGHT CONTROLS BY THE PILOT-IN-COMMAND.,
ACC,27912,1993-01-25 09:30:00+00:00,VOLCANO NATL PK,Hawaii,United States,N427FH,False,Aviation,DirectorBrief,1994-03-18 05:00:00+00:00,Fatal,4,0,1,A LOSS OF TAIL ROTOR CONTROL FOR AN UNDETERMINED REASON(S). A FACTOR WHICH CONTRIBUTED TO THE ACCIDENT WAS THE PILOT'S CHOICE OF A HOVER ALTITUDE/POSITION INADEQUATE TO REACH A SHORELINE IN THE EVENT OF AN EMERGENCY. A FACTOR WHICH CONTRIBUTED TO THE SEVERITY OF THE PASSENGERS' INJURIES WAS THE OPERATOR'S FAILURE TO PROVIDE PASSENGERS WITH LIFEVESTS.,
ACC,27822,1993-01-24 17:15:00+00:00,ELOY,Arizona,United States,N2144P,False,Aviation,DirectorBrief,1994-02-28 05:00:00+00:00,Serious,0,4,0,"PARTIAL LOSS OF ENGINE POWER DUE TO FUEL SYSTEM CONTAMINATION AND A PARTIALLY OBSTRUCTED CARBURETOR VENTURI, AND THE PILOT'S FAILURE TO MAINTAIN CONTROL OF THE AIRPLANE. A FACTOR IN THE ACCIDENT WAS THE PILOT'S INADEQUATE PREFLIGHT INSPECTION.",
ACC,42979,1993-01-24 14:30:00+00:00,BRIGHAM CITY,Utah,United States,N39088,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,"THE LOCATION OF UNMARKED ELECTRICAL TRANSMISSION WIRES OVER A DESIGNATED AIRPORT TAXIWAY.  FACTORS RELATING TO THE ACCIDENT WERE THE PILOT'S LACK OF EXPECTANCY TO ENCOUNTER WIRES ABOVE AN ARPT TAXIWAY, AND HIS DIVERTED ATTENTION DUE TO THE CLOSE PROXIMITY OF THE TAXIWAY TO BUILDINGS AND THE LOOSE DRY SNOW ON THE AIRPORT.",
ACC,27914,1993-01-24 09:15:00+00:00,SAN JUAN BAUTIS,California,United States,N7000J,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,Serious,0,2,0,THE PILOT'S INADEQUATE INFLIGHT PLANNING AND THE UNFAVORABLE WINDS.,
ACC,27911,1993-01-23 17:00:00+00:00,SEDONA,Arizona,United States,N737EA,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE PILOTS INADEQUATE COMPENSATION FOR THE EXISTING WIND CONDITIONS AND HIS DELAY IN EXECUTING A GO AROUND.  A FACTOR IN THE ACCIDENT WAS THE PILOT'S LACK OF TOTAL EXPERIENCE.,
ACC,15654,1993-01-23 16:20:00+00:00,STREATOR,Illinois,United States,N2248X,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE PILOT'S FAILURE TO PERFORM A GO-AROUND. THE TAILWIND AND THE PILOT'S SELECTION OF THE DOWNWIND RUNWAY WERE FACTOR.,
ACC,37290,1993-01-23 15:23:00+00:00,TETERBORO,New Jersey,United States,N52491,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,THE FAILURE OF THE PILOT TO MAINTAIN DIRECTIONAL CONTROL DURING LANDING WHICH RESULTED IN THE AIRPLANE DEPARTING THE RUNWAY AND NOSING OVER. FACTORS RELATED TO THE ACCIDENT WERE THE CROSSWIND AND THE SOFT TERRAIN ENCOUNTERED BY THE AIRPLANE.,
ACC,33218,1993-01-23 13:25:00+00:00,GAINESVILLE,Florida,United States,N714RG,False,Aviation,DirectorBrief,1994-02-10 05:00:00+00:00,None,0,0,0,POOR IN-FLIGHT PLANNING DECISION BY THE STUDENT PILOT.  CONTRIBUTING TO THE ACCIDENT WAS HIS APPREHENSION AND LACK OF TOTAL EXPERIENCE IN THE TYPE OF OPERATION.,
ACC,18636,1993-01-23 12:30:00+00:00,FORT WORTH,Texas,United States,N101NZ,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,THE PILOT'S FAILURE TO COMPENSATE FOR THE CROSSWIND. A FACTOR WAS THE CROSSWIND.,
ACC,27910,1993-01-23 10:30:00+00:00,PALOMAR MTN,California,United States,N2335Q,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE STUDENT PILOT'S INITIAL FAILURE TO MAINTAIN ROTOR RPM DURING THE GO AROUND AND THE INSTRUCTOR'S IMPROPER USE OF THE FLIGHT CONTROLS AND FAILURE TO ADEQUATELY SUPERVISE THE CONDUCT OF THE FLIGHT.,
ACC,18689,1993-01-23 08:45:00+00:00,BAYTOWN,Texas,United States,N73405,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE LOSS OF POWER DUE TO A STUCK EXHAUST VALVE IN THE NUMBER 3 CYLINDER,
ACC,18270,1993-01-23 07:55:00+00:00,GREELEY,Colorado,United States,N3303X,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,POOR IN FLIGHT PLANNING AND DECISION MAKING BY THE FLIGHT INSTRUCTOR IN ALLOWING THE STUDENT TO PROGRESS TO A POINT WHERE A SAFE FLIGHT REGIMEN COULD NOT BE MAINTAINED.  A FACTOR WAS: THE DUAL STUDENTS FAILURE TO MAINTAIN CONTROL OF THE AIRCRAFT.,
ACC,18635,1993-01-22 19:00:00+00:00,EL DORADO,Arkansas,United States,N7676C,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,THE PILOT'S FAILURE TO MAINTAIN CLEARANCE. A FACTOR WAS THE DARK NIGHT.,
ACC,37289,1993-01-22 17:45:00+00:00,WILLOUGHBY,Ohio,United States,N2890A,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,None,0,0,0,"THE PILOT'S FAILURE TO MAINTAIN THE PROPER GLIDE PATH DURING AN INSTRUMENT APPROACH, AND HIS IMPROPER REMEDIAL ACTION, RESULTING IN A COLLISION WITH TREES.",
ACC,27909,1993-01-22 17:30:00+00:00,FOUNTAIN HILLS,Arizona,United States,N8LW,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,Fatal,1,0,0,THE PILOT'S INITIATION OF A LOW LEVEL AEROBATIC MANEUVER AT AN ALTITUDE INSUFFICIENT TO ENSURE ADEQUATE TERRAIN CLEARANCE.,
ACC,27908,1993-01-22 13:55:00+00:00,RAMONA,California,United States,N7965G,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,A LOSS OF ENGINE POWER RELATED TO INADEQUATE AND IMPROPER MAINTENANCE PRACTICES CONCERNING THE CARBURETOR.,
ACC,27913,1993-01-22 13:36:00+00:00,PACOIMA,California,United States,N4458S,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,"THE PILOT'S POORLY PLANNED APPROACH, HIS USE OF AN EXCESSIVE AIRSPEED ON FINAL APPROACH AND HIS IMPROPER USE OF THE BRAKES.  A FACTOR IN THE ACCIDENT WAS HIS LIMITED EXPERIENCE IN BOTH MULTI ENGINE AND IN THE ACCIDENT AIRCRAFT.",
ACC,27907,1993-01-21 16:00:00+00:00,LOST HILLS,California,United States,N6654,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE PILOT'S INABILITY TO MAINTAIN DIRECTIONAL CONTROL DURING THE LANDING ROLL OUT DUE TO A BINDING LEFT BRAKE MASTER CYLINDER.,
ACC,27821,1993-01-20 18:05:00+00:00,TULARE,California,United States,N595B,False,Aviation,DirectorBrief,1994-05-04 04:00:00+00:00,Fatal,2,0,0,"THE INSTALLATION OF AN UNAPPROVED WING TIP FUEL TANK SYSTEM; AN INADEQUATE ANNUAL INSPECTION WHICH DID NOT NOTE, OR CORRECT, THE UNAPPROVED FUEL SYSTEM ADDITION; A WING TANK FUEL SELECTOR VALVE INSTALLATION WITHOUT ADEQUATE PLACARDS TO SHOW POSITION OR OPERATION; AND INCORRECT INSTRUCTIONS TO THE PILOTS BY THE OWNER AND MECHANIC ON POSITIONING FUEL SELECTOR VALVES WHICH LED TO INADVERTENT MISPOSITIONING BY THE PILOTS AND SUBSEQUENT FUEL STARVATION. IN ADDITION, THE PILOT AT THE CONTROLS FAILED TO MAINTAIN ADEQUATE AIRSPEED FOLLOWING THE POWER LOSS WHICH RESULTED IN AN INADVERTENT STALL/SPIN. A FACTOR WHICH CONTRIBUTED TO THE LOSS OF CONTROL WAS THE DARK NIGHT LIGHT CONDITION.",
ACC,27820,1993-01-20 09:30:00+00:00,SUN CITY,California,United States,N53908,False,Aviation,DirectorBrief,1994-02-28 05:00:00+00:00,Fatal,1,0,0,"THE PILOT'S DECISION TO INITIATE VFR FLIGHT INTO INSTRUMENT METEOROLOGICAL CONDITIONS. FACTORS WHICH CONTRIBUTED TO THE ACCIDENT WERE: THE PILOT'S FAILURE TO OBTAIN A WEATHER BRIEFING, THE ADVERSE WEATHER, AND THE MOUNTAINOUS TERRAIN.",
ACC,42978,1993-01-19 18:10:00+00:00,MEDICINE BOW,Wyoming,United States,N56924,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,Minor,0,0,1,FAILURE OF THE #7 CYLINDER ROCKER ARM. FACTORS CONTRIBUTING TO THE ACCIDENT WERE UNSUITABLE TERRAIN AND DARK NIGHT CONDITIONS.,
ACC,15653,1993-01-19 14:00:00+00:00,LINEVILLE,Iowa,United States,N60SX,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,CARBURETOR ICE AS A RESULT OF THE PILOT-IN-COMMAND'S IMPROPER USE OF CARBURETOR HEAT.,
ACC,18585,1993-01-18 18:29:00+00:00,DIXIE INN,Louisiana,United States,N74DC,False,Aviation,DirectorBrief,1993-10-13 04:00:00+00:00,Fatal,3,0,0,THE PILOT'S FAILURE TO MAINTAIN CONTROL FOR UNDETERMINED REASONS.,
ACC,27905,1993-01-18 12:39:00+00:00,WATSONVILLE,California,United States,N2304P,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,Minor,0,0,1,PILOT'S POOR VISUAL LOOK-OUT.  A FACTOR RELATING TO THIS ACCIDENT WAS THAT THE PILOT DIVERTED HIS ATTENTION.,
ACC,5834,1993-01-18 08:50:00+00:00,TELLER,Alaska,United States,N1776G,False,Aviation,DirectorBrief,1994-02-28 05:00:00+00:00,Fatal,1,0,0,"THE PILOT-IN-COMMAND'S FAILURE TO MAINTAIN AN ADEQUATE TERRAIN AVOIDANCE ALTITUDE. FACTORS WHICH CONTRIBUTED TO THE ACCIDENT WERE THE DARK NIGHT AND FEATURELESS SNOW COVERED TERRAIN, BOTH WHICH CREATED A 'FEATURELESS TERRAIN ILLUSION' WHICH PROBABLY LED THE PILOT TO VISUALLY OVERESTIMATE HIS ALTITUDE.",
ACC,33175,1993-01-18 08:40:00+00:00,NICEVILLE,Florida,United States,N89968,False,Aviation,DirectorBrief,1993-11-15 05:00:00+00:00,Serious,0,2,0,A LOSS OF ENGINE POWER FOR UNDETERMINED REASONS OVER TERRAIN THAT WAS NOT SUITABLE FOR THE SUBSEQUENT FORCED LANDING.,
ACC,8724,1993-01-17 17:30:00+00:00,MEBANE,North Carolina,United States,N3523R,False,Aviation,DirectorBrief,1993-11-03 05:00:00+00:00,Serious,0,4,0,THE PILOT'S MISMANAGEMENT OF THE FUEL SUPPLY WHICH RESULTED IN FUEL STARVATION TO THE ENGINE.,
ACC,11896,1993-01-17 16:35:00+00:00,SCOTIA,New York,United States,N6379M,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE STUDENT PILOT'S FAILURE TO MAINTAIN DIRECTIONAL CONTROL DURING LANDING.  THE SNOW COVERED RUNWAY WAS A RELATED FACTOR.,
ACC,33217,1993-01-17 15:35:00+00:00,LANTANA,Florida,United States,N117TV,False,Aviation,DirectorBrief,1994-02-18 05:00:00+00:00,Minor,0,0,1,THE PILOT-IN-COMMAND'S FAILURE TO ASSURE THAT THE HELICOPTER WAS PROPERLY POSITIONED ON THE LANDING PLATFORM.,
ACC,37295,1993-01-17 15:15:00+00:00,ORANGE,Massachusetts,United States,N24908,False,Aviation,DirectorBrief,1993-12-03 05:00:00+00:00,None,0,0,0,THE PILOT FAILED TO MAINTAIN CONTROL OF THE AIRPLANE RESULTING IN THE AIRPLANE DEPARTING THE RUNWAY AND IMPACTING WITH A SNOW BANK.,
ACC,15651,1993-01-17 15:10:00+00:00,MINNEAPOLIS,Minnesota,United States,N48863,False,Aviation,DirectorBrief,1993-11-03 05:00:00+00:00,None,0,0,0,FAILURE OF THE PILOT TO MAINTAIN DIRECTIONAL CONTROL DURING A TAKEOFF GROUND RUN.,
ACC,15652,1993-01-16 17:20:00+00:00,JEFFERSONVILLE,Indiana,United States,N45563,False,Aviation,DirectorBrief,1993-10-25 04:00:00+00:00,None,0,0,0,THE PILOT'S FAILURE TO MAINTAIN PROPER AIRSPEED. THE POORLY PLANNED APPROACH WAS A FACTOR.,
